CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,93,-101,245,30.28,854.90,209.25,65,870.60,895.10,130,"21,950.00",260,72.45,72.75,130,-95.60,72.75,28.05,"1,80,616","3,419","3,526",
,"5,954",-858,"16,865",32.40,832.65,225.80,260,833.45,839.25,260,"22,000.00",195,80.10,80.35,195,-165.10,80.10,27.82,"11,21,663","14,637","54,569",
,229,-21,880,30.61,778.85,204.65,65,786.50,804.80,195,"22,050.00",715,88.15,88.85,260,-174.70,88.10,27.58,"2,15,684","2,942","3,973",
,872,104,"3,024",30.47,739.55,199.00,65,747.65,760.10,65,"22,100.00","1,885",97.00,97.85,195,-183.70,97.80,27.47,"3,94,660","7,449","13,479",
,412,15,"2,000",29.75,695.75,185.00,260,708.25,720.55,65,"22,150.00",390,106.75,107.40,260,-191.85,107.10,27.21,"2,22,425","2,064","3,739",
,"2,835",326,"8,497",31.82,679.35,200.95,"1,300",669.05,676.10,260,"22,200.00",260,116.90,117.40,130,-201.80,116.80,26.91,"5,35,306","11,462","18,569",
,644,-550,"4,260",29.86,625.00,172.15,260,634.45,646.55,195,"22,250.00",260,128.05,128.85,325,-213.50,129.35,26.82,"2,17,986","2,017","4,324",
,"3,835","-5,029","29,571",30.78,600.00,180.10,260,595.70,600.00,975,"22,300.00",260,140.45,141.55,520,-223.00,141.65,26.60,"4,66,744",202,"16,860",
,"5,702","-2,927","15,241",30.21,560.90,163.90,260,558.95,563.10,260,"22,350.00",260,153.55,154.50,260,-228.85,153.35,26.22,"2,54,746",419,"5,435",
,"5,956","-6,858","37,761",29.80,524.25,152.50,260,524.20,526.85,260,"22,400.00",130,167.65,168.50,"1,105",-241.10,167.65,26.01,"5,22,158","4,323","19,408",
,"1,821","-1,544","17,766",29.32,487.75,141.45,260,489.15,492.25,260,"22,450.00",130,183.15,184.15,260,-249.45,183.45,25.83,"2,54,566","3,503","6,888",
,"23,975","-12,746","1,72,962",29.33,457.75,135.55,260,455.40,457.60,260,"22,500.00",130,199.35,200.40,455,-258.40,200.40,25.65,"10,71,490","6,069","43,906",
,"2,329","-1,104","36,691",28.95,424.40,125.30,260,423.50,425.45,260,"22,550.00",520,216.75,217.75,"1,625",-267.60,217.75,25.39,"3,08,605","4,346","6,504",
,"12,443","-4,763","1,82,236",28.60,392.40,116.55,520,392.40,393.85,455,"22,600.00",195,235.35,236.25,260,-277.20,235.25,25.05,"7,06,332","6,405","17,618",
,"8,814","5,985","1,74,074",28.31,362.30,106.60,780,362.25,363.65,260,"22,650.00",130,255.30,256.35,455,-283.40,255.75,24.85,"4,89,092","13,548","14,944",
,"34,636","22,523","6,21,477",28.02,333.35,97.35,390,333.20,333.55,195,"22,700.00",260,275.90,277.15,195,-292.15,276.00,24.51,"11,07,183","27,823","33,838",
,"10,279","8,108","4,73,951",27.77,306.05,88.25,650,305.80,306.20,195,"22,750.00",325,299.20,299.55,325,-301.80,299.65,24.36,"7,31,088","9,441","10,055",
,"32,076","14,966","14,02,459",27.49,279.65,78.10,260,279.50,280.80,910,"22,800.00",715,321.95,323.40,195,-309.65,321.95,23.96,"15,95,780","14,961","22,326",
,"13,931","11,154","8,69,087",27.34,255.95,70.85,65,255.65,256.50,195,"22,850.00",260,346.85,348.25,195,-307.45,348.30,23.78,"7,92,582","8,149","9,239",
,"32,986","22,293","15,31,797",27.19,233.50,65.40,65,232.45,233.30,195,"22,900.00",455,373.60,375.10,130,-321.05,373.55,23.38,"11,20,889","14,140","19,306",
,"11,517","8,426","5,11,545",26.92,211.10,55.90,130,210.65,211.65,"1,040","22,950.00",195,401.25,403.30,130,-329.15,401.25,23.06,"2,65,716","5,759","6,923",
,"67,904","24,548","16,53,848",26.66,190.00,48.80,260,189.55,190.65,260,"23,000.00",260,429.25,431.35,65,-337.25,431.35,22.82,"5,56,694","9,288","30,068",
,"8,264","3,613","3,13,931",26.49,171.15,43.70,260,171.30,172.25,260,"23,050.00",260,461.25,463.50,130,-342.55,462.85,22.57,"50,535",221,"2,362",
,"24,877","7,241","5,74,332",26.37,154.20,37.65,260,154.25,155.00,65,"23,100.00",260,493.80,495.60,260,-344.35,495.35,22.27,"87,871",789,"7,168",
,"8,367","5,151","2,89,925",26.29,138.75,34.30,65,138.65,139.05,260,"23,150.00",260,526.65,530.25,260,-352.65,526.55,21.67,"16,647",469,"1,306",
,"42,904","8,429","8,67,259",26.13,123.60,28.70,"1,820",123.20,123.90,195,"23,200.00",390,563.05,566.05,585,-362.85,564.90,21.67,"49,169","-1,679","6,752",
,"9,285","4,662","2,95,703",26.03,110.25,24.05,260,110.10,110.80,260,"23,250.00",260,597.95,612.10,780,-356.10,617.70,23.24,"8,346","-1,016",903,
,"30,392","14,138","6,20,411",25.93,97.95,19.95,260,97.90,98.55,260,"23,300.00",260,635.50,639.80,325,-354.25,640.00,21.02,"16,959",105,"3,603",
,"9,786","7,116","2,66,009",25.87,87.10,15.65,260,87.00,87.35,"1,755","23,350.00",780,671.10,678.60,325,-346.55,694.15,22.70,"1,636",106,446,
,"29,302","12,317","5,81,952",25.89,77.75,14.15,260,77.15,77.45,"3,510","23,400.00","1,040",714.20,718.10,325,-369.85,722.00,20.59,"10,672",-136,"2,639",
,"8,495","4,279","2,54,965",25.84,68.70,10.30,"1,690",68.10,68.75,260,"23,450.00",130,752.10,769.75,390,-357.65,784.45,23.54,938,93,463,
,"77,883","23,522","13,46,757",25.80,60.60,6.45,845,60.60,61.05,"1,495","23,500.00",260,795.90,801.10,390,-371.50,807.05,19.87,"26,338","2,026","11,538",
,"7,645","3,169","2,27,613",25.78,53.45,5.30,"1,300",53.25,53.70,715,"23,550.00",65,833.25,851.35,65,-325.80,865.80,22.52,910,-37,668,
,"29,280","10,273","4,17,114",25.74,46.80,4.55,520,46.90,47.35,260,"23,600.00",260,878.75,889.55,260,-371.95,904.00,21.04,"4,534",454,"8,311",
,"7,047","4,960","1,95,383",25.79,41.40,3.60,650,41.50,41.80,"1,300","23,650.00",130,922.25,939.50,65,-317.30,961.05,23.48,513,58,185,
,"31,809","14,824","4,19,515",25.84,36.50,1.65,780,36.40,36.70,910,"23,700.00",520,968.15,982.50,65,-383.70,990.00,18.59,"1,811",152,"1,463",
,"10,787","7,928","1,62,765",25.90,32.20,0.85,195,32.20,32.50,"1,430","23,750.00",130,"1,013.45","1,034.15",65,-312.30,"1,052.60",23.35,352,46,269,
,"36,582","13,953","4,63,512",25.99,28.50,1.45,65,28.30,28.50,"1,430","23,800.00",65,"1,059.65","1,075.40",65,-373.60,"1,083.00",15.51,"3,025",-335,"3,226",
,"9,795","6,748","1,68,910",25.91,24.45,0.55,"1,820",24.45,24.95,65,"23,850.00",65,"1,096.65","1,127.60",455,-330.25,"1,131.95",14.30,228,-,179,
,"34,247","19,097","2,92,900",26.00,21.55,-0.70,780,21.55,21.85,"1,820","23,900.00",65,"1,154.00","1,167.00",65,-334.70,"1,182.90",16.81,"1,823",-324,"5,072",
,"6,907","5,148","1,32,178",26.15,19.15,-0.65,"2,145",19.05,19.25,260,"23,950.00",390,"1,173.95","1,218.55",65,-311.05,"1,270.10",30.86,89,26,54,
,"96,494","36,791","8,94,573",26.24,16.85,-1.90,"2,145",16.55,16.85,715,"24,000.00",130,"1,249.85","1,262.00",260,-380.20,"1,256.65",-,"4,236",-666,"11,431",
,"7,905","4,724","1,21,185",26.42,15.05,-1.90,845,14.75,15.05,"1,690","24,050.00",390,"1,268.90","1,313.90",130,-254.50,"1,360.50",30.51,5,-,36,
,"45,491","24,022","2,75,791",26.46,13.05,-2.40,"2,600",13.15,13.35,"1,105","24,100.00",65,"1,316.95","1,364.10",520,-348.45,"1,380.10",-,110,-,"5,457",
,"8,795","7,188","1,02,318",26.70,11.80,-2.30,"1,300",11.55,11.70,"2,600","24,150.00",780,"1,361.90","1,452.10",780,-,"1,690.30",-,-,-,14,
,"41,133","13,830","2,79,759",26.68,10.10,-2.30,"1,105",10.10,10.30,"1,885","24,200.00",65,"1,445.00","1,458.75",195,-355.20,"1,463.30",-,234,-105,"8,549",
,"8,527","3,797","94,725",26.91,9.10,-2.40,"1,300",8.95,9.05,"2,925","24,250.00",65,"1,483.95","1,575.20",780,-20.75,"1,846.45",-,-,-,"1,569",
,"27,375","12,718","1,99,266",26.97,7.90,-2.55,"2,795",7.85,8.00,"1,495","24,300.00",780,"1,507.45","1,564.25",65,-362.00,"1,579.75",-,8,-6,"3,317",
,"8,738","6,683","87,162",27.00,6.80,-2.95,"3,250",6.80,6.85,390,"24,350.00",780,"1,539.65","1,697.95",780,-,"1,850.00",-,-,-,25,
,"20,826","11,555","1,58,199",27.24,6.15,-2.50,650,6.10,6.15,325,"24,400.00",65,"1,607.55","1,651.85",130,-341.85,"1,661.90",-,770,-37,"4,583",
,"8,524","5,324","78,206",27.36,5.40,-3.00,780,5.40,5.50,650,"24,450.00",65,"1,677.85","1,774.80",65,382.95,"1,558.95",-,2,-1,"1,637",
,"91,152","35,080","4,35,639",27.41,4.65,-3.15,130,4.55,4.65,"2,405","24,500.00",65,"1,729.95","1,750.10",65,-379.05,"1,762.95",-,569,-64,"14,575",
,"17,461","3,458","80,153",27.55,4.10,-3.30,325,4.15,4.20,845,"24,550.00",65,"1,758.85","1,858.35",65,-309.15,"1,650.85",-,3,-1,"21,555",
,"34,200","12,759","1,77,779",27.57,3.50,-3.15,"3,445",3.45,3.60,"2,600","24,600.00",65,"1,828.00","1,893.25",780,-356.95,"1,859.95",-,26,-3,"13,119",
,"10,974","9,721","71,547",27.85,3.20,-3.20,"2,210",3.15,3.25,"1,495","24,650.00",390,"1,852.35","1,921.25",65,-339.05,"1,943.00",34.33,7,-5,"25,215",
,"36,494","13,183","2,01,026",27.83,2.70,-3.25,"1,755",2.65,2.70,"12,155","24,700.00",65,"1,926.55","2,004.40",780,-437.80,"1,840.00",-,4,-,"18,001",
,"18,838","7,179","78,674",28.08,2.45,-3.15,"1,755",2.45,2.55,"2,925","24,750.00",65,"1,952.95","2,063.30",780,-,"2,374.40",-,-,-,"9,001",
,"23,782","12,295","1,79,326",28.51,2.35,-2.95,"1,755",2.30,2.35,"1,690","24,800.00",780,"1,989.85","2,092.35","1,170",-367.25,"2,061.00",-,54,-12,"2,197",
,"9,540","1,679","72,427",28.92,2.25,-2.80,65,2.20,2.25,"1,235","24,850.00",780,"1,892.60","2,173.95","1,105",-,"2,230.00",-,-,-,13,
,"10,276","4,421","1,05,391",29.17,2.05,-2.60,"3,120",1.95,2.05,"1,820","24,900.00",65,"2,122.55","2,162.80",130,-285.80,"2,198.35",40.32,149,1,251,
,"2,337","1,779","35,123",29.55,1.95,-2.35,"2,470",1.90,2.00,"2,340","24,950.00",780,"2,148.75","2,261.35",780,-226.85,"2,203.15",-,1,-,20,
,"58,393","10,549","4,01,893",29.83,1.80,-2.25,"6,370",1.80,1.85,"3,510","25,000.00",65,"2,225.20","2,244.95",65,-363.15,"2,250.60",-,"1,881",-143,"7,723",
,"2,243","1,536","39,732",30.08,1.65,-2.25,"2,015",1.65,1.75,325,"25,050.00",780,"2,068.15","2,424.60","2,470",-270.00,"2,160.00",-,7,-2,5,
,"3,331",190,"60,538",30.52,1.60,-1.65,845,1.50,1.60,"2,210","25,100.00",390,"2,292.90","2,393.90",910,-361.05,"2,339.20",-,11,-,37,
,"1,323",849,"19,062",30.60,1.40,-1.90,"1,235",1.40,1.55,"2,405","25,150.00",65,"2,349.45","2,574.80","1,690",152.30,"2,300.00",-,2,1,3,
,"6,093","1,446","81,441",31.01,1.35,-2.05,"1,170",1.35,1.40,"3,770","25,200.00",130,"2,425.85","2,465.30",65,-408.80,"2,425.05",-,143,-1,233,
,865,218,"9,436",31.15,1.20,-2.15,"1,690",1.20,1.35,65,"25,250.00",390,"2,448.85","2,576.75",780,-331.10,"2,473.90",-,6,-,23,
,"3,995",-575,"80,957",31.93,1.30,-1.85,"1,755",1.20,1.30,"1,755","25,300.00",390,"2,496.50","2,599.50",780,-262.25,"2,627.50",55.52,88,-1,117,
,"1,384",991,"10,928",32.32,1.25,-1.90,"2,340",1.15,1.25,"1,560","25,350.00",780,"2,391.90","2,665.95",780,-,"1,392.65",-,-,-,1,
,"11,611","9,732","90,116",32.25,1.05,-2.15,"1,83,820",1.00,1.05,"23,660","25,400.00",65,"2,621.45","2,713.60",65,-332.80,"2,627.25",-,289,-27,326,
,"1,328",987,"26,598",32.76,1.05,-2.00,"23,335",1.00,1.05,"3,705","25,450.00","1,690","2,440.55","2,773.00",780,300.00,"2,700.00",-,1,-,1,
,"31,882","4,315","2,50,443",33.10,1.00,-2.00,"4,09,435",0.95,1.00,"31,200","25,500.00",65,"2,715.15","2,735.15",130,-350.70,"2,751.20",-,"1,278",-269,"3,039",
,"1,905","1,291","19,285",33.43,0.95,-2.05,"83,980",0.95,1.00,260,"25,550.00",65,"2,766.30","2,873.30",780,-235.30,"2,809.70",-,1,-,10,
,"4,306",71,"52,535",34.27,1.05,-1.90,"53,170",1.00,1.05,"40,885","25,600.00",65,"2,811.90","2,929.60",65,-472.00,"2,701.00",-,79,1,99,
,874,650,"4,831",34.42,0.95,-2.00,"2,860",0.95,1.10,"1,820","25,650.00",65,"2,624.60","2,971.95",780,-257.75,"2,872.25",-,2,-,16,
,"3,506","1,432","38,318",34.91,0.95,-1.70,325,0.95,1.05,"2,925","25,700.00",65,"2,917.15","2,990.65",65,-354.55,"2,931.00",-,45,-14,54,
,700,398,"6,093",35.22,0.90,-1.70,"3,120",0.90,0.95,"1,430","25,750.00",780,"2,794.90","3,066.85",780,-,"2,650.00",-,-,-,7,
,"2,574",600,"30,932",35.71,0.90,-1.50,"1,820",0.90,0.95,"7,995","25,800.00",65,"3,010.90","3,111.80",780,-208.10,"3,060.00",-,83,21,105,
,"2,176","1,900","14,815",36.19,0.90,-1.45,"1,105",0.90,0.95,"12,545","25,850.00",390,"3,040.25","3,151.70",780,-,"1,819.75",-,-,-,1,
,"2,827","1,841","25,451",36.48,0.85,-1.40,"32,760",0.85,0.90,"7,150","25,900.00",325,"3,102.70","3,252.15",65,-510.75,"2,950.25",-,5,-4,11,
,"1,112",666,"9,285",36.96,0.85,-1.15,"17,550",0.80,0.85,715,"25,950.00",780,"3,016.70","3,342.40",780,-,"1,922.35",-,-,-,1,
,"27,010","-1,903","2,00,119",37.22,0.80,-1.30,"1,06,470",0.80,0.85,"1,75,760","26,000.00",130,"3,211.90","3,247.05",65,-348.00,"3,243.70",-,"1,231",-360,"3,233",
,755,483,"4,207",37.70,0.80,-1.15,"1,625",0.80,0.85,"1,625","26,050.00",780,"3,240.05","3,365.30",780,-,"3,070.00",-,-,-,2,
,"1,109",532,"8,143",38.17,0.80,-1.05,"39,585",0.75,0.80,390,"26,100.00",390,"3,286.95","3,341.60",65,-304.25,"3,357.90",-,297,-136,195,
,524,383,"4,686",38.65,0.80,-1.10,650,0.75,0.85,"2,210","26,150.00",780,"3,187.25","3,465.80",780,-,"2,146.50",-,-,-,1,
,"3,899","1,023","15,483",39.12,0.80,-1.00,"2,405",0.75,0.80,"7,150","26,200.00",390,"3,392.10","3,521.70",780,190.50,"3,780.00",-,-,-,10,
,403,216,"2,405",39.35,0.75,-1.15,"3,250",0.70,0.90,"2,600","26,250.00",65,"3,457.35","3,621.90",780,-127.30,"3,512.70",-,7,-,40,
,"1,966","1,370","11,845",39.57,0.70,-0.85,"4,875",0.70,0.75,"1,755","26,300.00",65,"3,504.10","3,595.10",390,-368.90,"3,481.10",-,90,1,139,
,475,230,"2,148",40.52,0.80,-0.85,130,0.75,0.80,"2,990","26,350.00",390,"3,546.95","3,687.85",780,-,"2,349.15",-,-,-,1,
,"4,249","2,073","18,318",40.49,0.70,-0.60,"12,415",0.70,0.75,"27,235","26,400.00",390,"3,590.90","3,696.70",390,-,"3,530.00",-,-,-,1,
,337,134,"2,259",40.95,0.70,-0.85,"2,990",0.70,0.85,910,"26,450.00",780,"3,430.60","3,811.30",780,-,"2,419.80",-,-,-,1,
,"17,698","3,983","57,502",41.41,0.70,-0.90,"13,260",0.70,0.75,"19,955","26,500.00",390,"3,692.60","3,751.00",65,-298.15,"3,753.25",-,167,-10,559,
,"1,152",718,"4,169",42.13,0.75,-0.75,"5,525",0.70,0.75,"2,860","26,550.00",780,"3,569.80","4,029.05",780,-,"2,533.15",-,-,-,1,
,"15,845","3,251","50,085",42.32,0.70,-0.65,"2,78,980",0.65,0.70,"54,860","26,600.00",260,"3,813.75","3,920.90",780,-164.85,"3,791.30",-,16,-,41,
